Category Name,Type of Query,Query title (max length: 64 chars),Query URL,Tip (something we'll expose in the UI when a user makes a particular request),Doc Link,AAD or MSA,Post template,Headers
Microsoft Teams,POST,create channel,/v1.0/teams/{team-id}/channels,"This query requires a team id.  To find the team id of teams you belong to, you can run: GET https://graph.microsoft.com/v1.0/me/joinedTeams.",https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/channel_post,,"{
   ""displayName"": ""Architecture Discussion"",
   ""description"": ""This channel is where we debate all future architecture plans""
 }",
Microsoft Teams,GET,apps in a team,/v1.0/teams/{team-id}/installedApps?$expand=teamsAppDefinition,"This query requires a team id. To find the team id, you can run: GET https://graph.microsoft.com/v1.0/me/joinedTeams",https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/teamsappinstallation_list,,,
Microsoft Teams,GET,tabs in a channel,/v1.0/teams/{team-id}/channels/{channel-id}/tabs?$expand=teamsApp,"This query requires a team id and a channel id from that team. To find the team id  & channel id, you can run: 1) GET https://graph.microsoft.com/v1.0/me/joinedTeams 2) GET https://graph.microsoft.com/v1.0/teams/{team-id}/channels",https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/teamstab_list,,,
Microsoft Teams,GET,items in a team drive,/v1.0/groups/{group-id-for-teams}/drive/root/children,"This query requires a group id of the Team.  To find the group id of Teams you belong to, you can run: GET https://graph.microsoft.com/v1.0/me/joinedTeams",https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/item_list_children,,,
Microsoft Teams (beta),GET,messages (without replies) in a channel,/beta/teams/{group-id-for-teams}/channels/{channel-id}/messages,"This query requires a group id of the Team and channel id of the corresponding channel of that Team. To find the group id  & channel id, you can run: 1) GET https://graph.microsoft.com/beta/me/joinedTeams 2) GET https://graph.microsoft.com/beta/groups/{group-id-for-teams}/channels",https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/channel_list_messages,,,
Microsoft Teams (beta),GET,message in a channel,/beta/teams/{group-id-for-teams}/channels/{channel-id}/messages/{message-id},"This query requires a group id of the Team, channel id of the corresponding channel of that Team and message id of the message you want to retrieve. To find the group id, channel id and message-id you can run: 1) GET https://graph.microsoft.com/beta/me/joinedTeams 2) GET https://graph.microsoft.com/beta/groups/{group-id-for-teams}/channels 3) GET https://graph.microsoft.com/beta/teams/{group-id-for-teams}/channels/{channel-id}/messages",https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/channel_get_message,,,
Microsoft Teams (beta),GET,replies to a message in channel,/beta/teams/{group-id-for-teams}/channels/{channel-id}/messages/{message-id}/replies,"This query requires a group id of the Team, channel id of the corresponding channel of that Team and message id of the message of which you need the replies. To find the group id, channel id and message-id you can run: 1) GET https://graph.microsoft.com/beta/me/joinedTeams 2) GET https://graph.microsoft.com/beta/groups/{group-id-for-teams}/channels 3) GET https://graph.microsoft.com/beta/teams/{group-id-for-teams}/channels/{channel-id}/messages",https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/channel_list_messagereplies,,,
Microsoft Teams (beta),GET,reply of a message,/beta/teams/{group-id-for-teams}/channels/{channel-id}/messages/{message-id}/replies/{reply-id},"This query requires a group id of the Team, channel id of the corresponding channel of that Team, message id of the message of which you need the reply and the id of the specific reply. To find the group id, channel id, message-id and reply-id you can run: 1) GET https://graph.microsoft.com/beta/me/joinedTeams 2) GET https://graph.microsoft.com/beta/groups/{group-id-for-teams}/channels 3) GET https://graph.microsoft.com/beta/teams/{group-id-for-teams}/channels/{channel-id}/messages 4) GET https://graph.microsoft.com/beta/teams/{group-id-for-teams}/channels/{channel-id}/messages/{message-id}/replies",https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/channel_get_messagereply,,,
Microsoft Teams (beta),POST,create chat thread,/beta/teams/{team-id}/channels/{channel-id}/chatThreads,"This query requires a team id and a channel id from that team. To find the team id  & channel id, you can run: 1) GET https://graph.microsoft.com/beta/me/joinedTeams 2) GET https://graph.microsoft.com/beta/teams/{team-id}/channels",https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/channel_post_chatthreads,,"{
""rootMessage"": {
       ""body"": {
         ""contentType"": 2,
         ""content"": ""Hello world""
       }
   }
 }",
Outlook Mail,GET,my inbox rules,/beta/me/mailFolders/inbox/messagerules,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/resources/messagerule,BOTH,,
Outlook Mail,GET,my outlook categories,/beta/me/outlook/masterCategories,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/outlookuser_list_mastercategories,BOTH,,
Outlook Mail,GET,get email headers,/beta/me/messages?$select=internetMessageHeaders&$top=1,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/resources/message,BOTH,,
Outlook Mail,GET,list conference rooms,/beta/me/findRooms,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/user_findrooms,AAD,,
Security,GET,alerts,/v1.0/security/alerts?$top=1,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/alert_list,AAD,,
Security,GET,alerts with 'High' severity,/v1.0/security/alerts?$filter=Severity eq 'High'&$top=5,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/alert_list,AAD,,
Security,GET,alerts from 'Azure Security Center',/v1.0/security/alerts?$filter=vendorInformation/provider eq 'ASC'&$top=5,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/alert_list,AAD,,
Security,GET,alerts filter by 'Category',/v1.0/security/alerts?$filter=Category eq 'ransomware'&$top=5,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/alert_list,AAD,,
Security,GET,alerts filter by destination address,/v1.0/security/alerts?$filter=networkConnections/any(d:d/destinationAddress eq '{destination-address}'),This query requires a destination address. Run https://graph.microsoft.com/v1.0/security/alerts?$top=1 and search the results for a destinationAddress property.,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/alert_list,AAD,,
Security,GET,alerts filter by 'Status',/v1.0/security/alerts?$filter=Status eq 'NewAlert'&$top=1,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/alert_list,AAD,,
Security,GET,secure scores (beta),/beta/security/secureScores?$top=5,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/securescores_list,AAD,,
Security,GET,secure score control profiles (beta),/beta/security/secureScoreControlProfiles?$top=5,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/securescorecontrolprofiles_list,AAD,,
Security,Get,TI indicators (beta),/beta/security/tiIndicators,,https://docs.microsoft.com/en-us/graph/api/tiindicators-list,AAD,,
Security,Get,security actions (beta),/beta/security/securityActions,,https://docs.microsoft.com/en-us/graph/api/securityactions-list,AAD,,
Security,PATCH,update alert,/v1.0/security/alerts/{alert-id},"This query requires an alert id. To find the ID of the alert, you can run: GET https://graph.microsoft.com/v1.0/security/alerts?$top=1",https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/alert_update,AAD,"{
  ""assignedTo"": ""test@contoso.com"",
  ""comments"": [""Comment 0"", ""Comment 1""],
  ""tags"": [""Tag 0"", ""Tag 1""],
  ""feedback"": ""truePositive"",
  ""status"": ""newAlert"",
  ""vendorInformation"": {
    ""provider"": ""provider"",
    ""providerVersion"": ""3.0"",
    ""subProvider"": null,
    ""vendor"": ""vendor""
  }
}",
Security,POST,create TI indicator (beta),/beta/security/tiIndicators,,https://docs.microsoft.com/en-us/graph/api/tiindicators-post,AAD,"{
  ""activityGroupNames"": [
      ""activityGroupNames-value""
    ],
  ""confidence"": 90,
  ""description"": ""This is a test indicator for demo purpose."",
  ""expirationDateTime"": ""{next-week}"",
  ""externalId"": ""Test-8586502158541347997MS342"",
  ""fileHashType"": ""sha256"",
  ""fileHashValue"": ""289a8e8c330c27ab893fb769db38046feaca9d0b11e0aaa416ba70b0a51d58a4"",
  ""targetProduct"": ""Azure ATP"",
  ""threatType"": ""WatchList"",
  ""tlpLevel"": ""green""
}",
Security,POST,create multiple TI indicators (beta),/beta/security/tiIndicators/microsoft.graph.submitTiIndicators,,https://docs.microsoft.com/en-us/graph/api/tiindicator-submittiindicators,AAD,"{
  ""value"": [
    {
      ""activityGroupNames"": [],
      ""confidence"": 0,
      ""description"": ""This is a test indicator for demo purpose. Take no action on any observables set in this indicator."",
      ""externalId"": ""Test-8586502120486653922MS812-0"",
      ""fileHashType"": ""sha256"",
      ""fileHashValue"": ""0c0ebb4c90fa39785745bcc5e5cb40e3db7791be030061e2818684bc128b8f97"",
      ""killChain"": [],
      ""malwareFamilyNames"": [],
      ""severity"": 0,
      ""tags"": [],
      ""targetProduct"": ""Azure ATP"",
      ""threatType"": ""WatchList"",
      ""tlpLevel"": ""green""
    },
    {
      ""activityGroupNames"": [],
      ""confidence"": 0,
      ""description"": ""This is a test indicator for demo purpose. Take no action on any observables set in this indicator."",
      ""externalId"": ""Test-8586502120486653922MS812-1"",
      ""fileHashType"": ""sha256"",
      ""fileHashValue"": ""86267de22dbad234ecf97870fdcf1a0e31149ee7a5fb595c050f69ca00f3529e"",
      ""killChain"": [],
      ""malwareFamilyNames"": [],
      ""severity"": 0,
      ""tags"": [],
      ""targetProduct"": ""Azure ATP"",
      ""threatType"": ""WatchList"",
      ""tlpLevel"": ""green""
    }
  ]
}",
Security,PATCH,update a TI indicator (beta),/beta/security/tiIndicators/{id},"This query requires the TI indicator id. To find the ID, you can run: GET https://graph.microsoft.com/beta/security/tiIndicators?$top=1",https://docs.microsoft.com/en-us/graph/api/tiindicator-update,AAD," {
      ""additionalInformation"": ""Testing""
    }",
Security,POST,update multiple TI indicators (beta),/beta/security/tiIndicators/microsoft.graph.updateTiIndicators,"This query requires the TI indicator id. To find the ID, you can run: GET https://graph.microsoft.com/beta/security/tiIndicators?$top=5

 ",https://docs.microsoft.com/en-us/graph/api/tiindicator-updatetiindicators,AAD,"{
  ""value"": [
    {
      ""id"": ""tiindicator-id-1"",
      ""additionalInformation"": ""Testing""
    },
    {
      ""id"": ""tiindicator-id-2"",
      ""additionalInformation"": ""Testing 2""
    }
  ]
}",
Security,POST,create security action (beta),/beta/security/securityActions,"Change the provider, vendor and parameters are needed",https://docs.microsoft.com/en-us/graph/api/securityactions-post,AAD,"{
    ""name"": ""blockIp"",
     ""vendorInformation"" :
     {  ""provider"": ""Windows Defender ATP"",
          ""vendor"": ""Microsoft""
      },
    ""parameters"" : [
      {""name"": ""IP"", ""value"":""1.2.3.4"" }
    ]
}",
Security,DELETE,delete TI indicator (beta),/beta/security/tiIndicators/{id},"This query requires the TI indicator id. To find the ID, you can run: GET https://graph.microsoft.com/beta/security/tiIndicators?$top=1",https://docs.microsoft.com/en-us/graph/api/tiindicator-delete,AAD,,
Security,POST,delete multiple TI indicators (beta),/beta/security/tiIndicators/microsoft.graph.deleteTiIndicators,"This query requires the TI indicator id. To find the ID, you can run: GET https://graph.microsoft.com/beta/security/tiIndicators?$top=5",https://docs.microsoft.com/en-us/graph/api/tiindicator-deletetiindicators,AAD,"{
  ""value"": [
    ""tiindicatorid-value1"",
    ""tiindicatorid-value2""
  ]
}",
Security,POST,delete multiple TI indicators by external Id (beta),/beta/security/tiIndicators/microsoft.graph.deleteTiIndicatorsByExternalId,"This query requires the TI indicator external id. To find the ID, you can run: GET https://graph.microsoft.com/beta/security/tiIndicators?$top=5",https://docs.microsoft.com/en-us/graph/api/tiindicator-deletetiindicatorsbyexternalid,AAD,"{
  ""value"": [
    ""tiindicator-externalId-value1"",
     ""tiindicator-externalId-value2""
  ]
}",
User Activities,PUT,create a user activity and history item,/v1.0/me/activities/uniqueIdInAppContext,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/projectrome_put_activity#example-2---deep-insert,BOTH,"{
    ""appActivityId"": ""uniqueIdInAppContext"",
    ""activitySourceHost"": ""https://graphexplorer.blob.core.windows.net"",
    ""userTimezone"": ""America/Los Angeles"",
    ""appDisplayName"": ""Graph Explorer"",
    ""activationUrl"": ""https://developer.microsoft.com/en-us/graph/graph-explorer"",
    ""fallbackUrl"": ""https://developer.microsoft.com/en-us/graph/graph-explorer"",
    ""contentInfo"": {
        ""@context"": ""http://schema.org"",
        ""@type"": ""CreativeWork"",
        ""author"": ""Jennifer Booth"",
        ""name"": ""Graph Explorer User Activity""
    },
    ""visualElements"": {
        ""attribution"": {
            ""iconUrl"": ""https://graphexplorer.blob.core.windows.net/explorerIcon.png"",
            ""alternateText"": ""Microsoft Graph Explorer"",
            ""addImageQuery"": ""false""
        },
        ""description"": ""A user activity made through the Microsoft Graph Explorer"",
        ""backgroundColor"": ""#008272"",
        ""displayText"": ""Graph Explorer Sample User Activity"",
        ""content"": {
            ""$schema"": ""http://adaptivecards.io/schemas/adaptive-card.json"",
            ""type"": ""AdaptiveCard"",
            ""body"":
            [{
                ""type"": ""TextBlock"",
                ""text"": ""With activities, developers have a way to capture the unique tasks for users of their app which flow seamlessly across any platform and device, allowing them to quickly resume working on their preferred screen. Using the Activity Feed, developers can create a human-centric view of the tasks most important to users helping reduce friction when switching from web to mobile to PC and beyond.""
            }]
        }
    },
    ""historyItems"":[
        {
            ""userTimezone"": ""America/Los Angeles"",
            ""startedDateTime"": ""{todayMinusHour}"",
            ""lastActiveDateTime"": ""{today}""
        }
    ]
}",Content-Type: application/json
User Activities,GET,get recent user activities,/v1.0/me/activities/recent,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/projectrome_get_recent_activities,BOTH,,
Applications (beta),GET,retrieve the list of applications,/beta/applications,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/application_list,AAD,,
Applications (beta),POST,create a new application,/beta/applications,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/application_post_applications," ""AAD""","{
        ""displayName"": ""My App""
    }",Content-type: application/json
Applications (beta),GET,retrieve application properties,/beta/applications/{application-id},This query requires an application id. To find the ID of an application&#44; you can run: GET https://graph.microsoft.com/beta/applications,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/application_get,,,
Applications (beta),PATCH,update application properties,/beta/applications/{application-id},This query requires an application id. To find the ID of an application&#44; you can run: GET https://graph.microsoft.com/beta/applications,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/application_update,AAD,"{
        ""signInAudience"": ""AzureADMyOrg""
    }",Content-type: application/json
Applications (beta),DELETE,delete an application,/beta/applications/{application-id},This query requires an application id. To find the ID of an application&#44; you can run: GET https://graph.microsoft.com/beta/applications,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/application_delete,AAD,,
Applications (beta),GET,retrieve a list of owners,/beta/applications/{application-id}/owners,This query requires an application id. To find the ID of an application&#44; you can run: GET https://graph.microsoft.com/beta/applications,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/application_list_owners,AAD,,
Applications (beta),POST,create a new owner,/beta/applications/{application-id}/owners,This query requires an application id. To find the ID of an application&#44; you can run: GET https://graph.microsoft.com/beta/applications. In the request body supply a JSON representation of directoryObject object,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/application_post_owners,AAD,"{
        ""directoryObject"": {
        }
    }",Content-type: application/json
Notifications (beta),POST,create a raw notification,/beta/me/notifications,Please enable the Notifications.ReadWrite.CreatedByApp permission in order to use this query.  A raw notification is a notification that is received by the application and processed in an application specific manner.  A raw notification may or may not include UI/UX for the user. Note - This query will only work with a sample application by default. See https://aka.ms/projectRomeSamples/ for additional info.,https://docs.microsoft.com/en-us/graph/api/notifications-post?view=graph-rest-beta,BOTH,"{
  ""targetHostName"": ""graphnotifications.sample.windows.com"",
  ""appNotificationId"": ""sampleRawNotification"",
  ""payload"": {
    ""rawContent"": ""Hello World!""
  },
  ""targetPolicy"": {
    ""platformTypes"": [
      ""windows"",
      ""ios"",
      ""android""
    ]
  },
  ""priority"": ""High"",
  ""displayTimeToLive"": ""60""
}",Content-Type: application/json
Notifications (beta),POST,create a visual notification,/beta/me/notifications,Please enable the Notifications.ReadWrite.CreatedByApp permission in order to use this query.  A visual notification is a notification that a user can see by default within the notification center of the target platform. Note - This query will only work with a sample application by default. See https://aka.ms/projectRomeSamples/ for additional info.,https://docs.microsoft.com/en-us/graph/api/notifications-post?view=graph-rest-beta,BOTH,"{
  ""targetHostName"": ""graphnotifications.sample.windows.com"",
  ""appNotificationId"": ""sampleDirectToastNotification"",
  ""payload"": {
    ""visualContent"": {
      ""title"": ""Hello World!"",
      ""body"": ""Notifications are Great!""
    }
  },
  ""targetPolicy"": {
    ""platformTypes"": [
      ""windows"",
      ""ios"",
      ""android""
    ]
  },
  ""priority"": ""High"",
  ""displayTimeToLive"": ""60""
}",Content-Type: application/json
